PID,PathType,Width,Length,Depth,Width_P,Length_P,Rotation,Rep,PointIndex,BoardX,BoardY,BoardZ,WorldX,WorldY,WorldZ
23,3,2,25,4,0.1396,1.773552,LR,0,92,0.5401224,-1.783569,-0.8208327,0.5401224,1.216431,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,93,0.5535393,-1.777687,-0.8208327,0.5535393,1.222313,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,94,0.574551,-1.76927,-0.8208327,0.574551,1.23073,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,95,0.5886092,-1.761368,-0.8208327,0.5886092,1.238632,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,96,0.6070469,-1.749161,-0.8208327,0.6070469,1.250839,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,97,0.6219134,-1.74611,-0.8208327,0.6219134,1.25389,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,98,0.6344948,-1.741421,-0.8208327,0.6344948,1.258579,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,99,0.6485372,-1.733847,-0.8208327,0.6485372,1.266153,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,100,0.6756435,-1.720329,-0.8208327,0.6756435,1.279671,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,101,0.6899164,-1.713061,-0.8208327,0.6899164,1.286939,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,102,0.7074594,-1.702914,-0.8208327,0.7074594,1.297086,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,103,0.730314,-1.687286,-0.8208327,0.730314,1.312714,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,104,0.7506154,-1.671926,-0.8208327,0.7506154,1.328074,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,105,0.7674663,-1.66294,-0.8208327,0.7674663,1.33706,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,106,0.7818301,-1.664716,-0.8208327,0.7818301,1.335284,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,107,0.7933568,-1.66939,-0.8208327,0.7933568,1.33061,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,108,0.8114427,-1.668592,-0.8208327,0.8114427,1.331408,4.179167
23,3,2,35,4,0.1396,2.522384,RL,0,0,-1.174656,-1.746846,-0.8237782,1.174656,1.253154,4.176222
23,3,2,35,4,0.1396,2.522384,RL,0,1,-1.163049,-1.745137,-0.8237782,1.163049,1.254863,4.176222
